País (ou território dependente),Estimativa da ONU
Índia,1 429 921 746
China,1 426 391 281
Estados Unidos,346 353 341
Indonésia,277 184 719
Paquistão,240 215 932
Nigéria,223 899 057
Brasil,203 493 629
Bangladesh,172 452 382
Rússia,146 140 931
México,134 127 189
Etiópia,125 092 825
Japão,124 127 899
Filipinas,109 581 078
Egito,102 334 404
Vietname,97 338 579
República Democrática do Congo,105 823 799
Turquia,84 339 067
Irã,83 992 949
Alemanha,83 783 942
Tailândia,69 799 978
Reino Unido,69 505 718
França,65 273 511
Itália,60 461 826
Tanzânia,59 734 218
África do Sul,59 308 690
Myanmar,54 409 800
Quénia,53 771 296
Coreia do Sul,51 269 185
Colômbia,50 882 891
Espanha,46 754 778
Uganda,45 741 007
Argentina,45 195 774
Argélia,43 851 044
Sudão,43 849 260
Ucrânia,43 733 762
Iraque,40 222 493
Afeganistão,38 928 346
Polónia,37 846 611
Canadá,37 742 154
Angola,36 996 710
Marrocos,36 910 560
Arábia Saudita,34 112 871
Malásia,34 112 440
Uzbequistão,33 469 203
Peru,32 971 854
Moçambique,31 255 435
Gana,31 072 940
Iémen,29 825 968
Nepal,29 136 808
Venezuela,28 435 940
Madagascar,27 691 018
Camarões,26 545 864
Costa do Marfim,26 378 274
Coreia do Norte,25 778 816
Austrália,25 499 884
Níger,24 206 644
Taiwan,23 816 775
Sri Lanka,21 413 249
Burquina Fasso,20 903 273
Mali,20 250 833
Roménia,19 237 691
Malawi,19 129 952
Chile,19 116 201
Cazaquistão,18 776 707
Zâmbia,18 383 955
Guatemala,17 915 568
Equador,17 643 054
Síria,17 500 657
Países Baixos,17 134 872
Senegal,16 743 927
Camboja,16 718 965
Chade,16 425 864
Somália,15 893 222
Zimbabwe,14 862 924
Guiné,13 132 795
Ruanda,12 952 218
Benim,12 123 000
Burundi,11 890 784
Tunísia,11 818 619
Bolívia,11 673 021
Bélgica,11 589 623
Haiti,11 402 528
Cuba,11 326 616
Sudão do Sul,11 193 725
República Dominicana,10 847 910
